county,window,truth_offset,ND,RMSE,MAE
25001,202126-202130,391,88.9534,8607.9433,1471.5429
25003,202126-202130,391,652.0278,11884.7293,2011.9714
25005,202126-202130,391,23.1379,3772.1873,666.3714
25009,202126-202130,391,19.5173,2801.624,499.0857
25013,202126-202130,391,32.858,3640.382,634.6286
25021,202126-202130,391,25.054,2935.7367,516.8286
25023,202126-202130,391,38.3313,4208.9806,730.4857
25025,202126-202130,391,16.0081,3448.0972,621.5714
25027,202126-202130,391,17.0678,2602.2383,467.1714
