date,deaths
2020-06-01,53.0
2020-06-08,26.0
2020-06-15,26.0
2020-06-22,28.0
2020-06-29,3.0
2020-07-06,13.0
2020-07-13,15.0
2020-07-20,13.0
2020-07-27,10.0
2020-08-03,16.0
2020-08-10,2.0
2020-08-17,17.0
2020-08-24,14.0
2020-08-31,3.0
2020-09-07,6.0
2020-09-14,15.0
2020-09-21,3.0
2020-09-28,8.0
2020-10-05,5.0
2020-10-12,9.0
2020-10-19,13.0
2020-10-26,14.0
2020-11-02,15.0
2020-11-09,10.0
2020-11-16,17.0
2020-11-23,21.0
2020-11-30,29.0
2020-12-07,23.0
2020-12-14,17.0
2020-12-21,0.0
2020-12-28,67.0
2021-01-04,44.0
2021-01-11,55.0
2021-01-18,44.0
2021-01-25,38.0
2021-02-01,34.0
2021-02-08,49.0
2021-02-15,27.0
2021-02-22,20.0
2021-03-01,20.0
2021-03-08,28.0
2021-03-15,27.0
2021-03-22,15.0
2021-03-29,12.0
2021-04-05,7.0
2021-04-12,7.0
2021-04-19,2.0
2021-04-26,9.0
2021-05-03,2.0
2021-05-10,9.0
2021-05-17,2.0
2021-05-24,5.0
2021-05-31,4.0
2021-06-07,2.0
2021-06-14,1.0
2021-06-21,2.0
2021-06-28,2.0
2021-07-05,2.0
2021-07-12,0.0
2021-07-19,2.0
2021-07-26,4.0
